"","Organisation Type","Organisation Name","Date","formattedDate","Therapy","Total waiting list","Waiting >18-52 weeks","Waiting >52 weeks","Percentage waiting more than 18 weeks"
"547","Organisation","Northumbria Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",175,59,8,38.2857142857143
"548","Organisation","Northumbria Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",270,2,0,0.740740740740741
"549","Organisation","Nottingham Citycare Partnership","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"550","Organisation","Nottingham Citycare Partnership","January 2023",2023-01-01,"Community Paediatric Service",130,0,0,0
"551","Organisation","Nottingham Citycare Partnership","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"552","Organisation","Nottingham Citycare Partnership","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"553","Organisation","Nottinghamshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"554","Organisation","Nottinghamshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"555","Organisation","Nottinghamshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",117,1,0,0.854700854700855
"556","Organisation","Nottinghamshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1429,167,2,11.8264520643807
"557","Organisation","Oxford Health NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"558","Organisation","Oxford Health NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"559","Organisation","Oxford Health NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"560","Organisation","Oxford Health NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"561","Organisation","Oxleas NHS Foundation Trust","January 2023",2023-01-01,"Audiology",252,16,2,7.14285714285714
"562","Organisation","Oxleas NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",1934,516,30,28.2316442605998
"563","Organisation","Oxleas NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",532,114,2,21.8045112781955
"564","Organisation","Oxleas NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",639,77,3,12.5195618153365
"565","Organisation","Provide","January 2023",2023-01-01,"Audiology",197,2,0,1.01522842639594
"566","Organisation","Provide","January 2023",2023-01-01,"Community Paediatric Service",2126,1076,170,58.6077140169332
"567","Organisation","Provide","January 2023",2023-01-01,"Occupational Therapy",458,176,13,41.2663755458515
"568","Organisation","Provide","January 2023",2023-01-01,"Speech And Language",216,57,2,27.3148148148148
"569","Organisation","Rotherham Doncaster and South Humber NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"570","Organisation","Rotherham Doncaster and South Humber NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"571","Organisation","Rotherham Doncaster and South Humber NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"572","Organisation","Rotherham Doncaster and South Humber NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"573","Organisation","Royal Cornwall Hospitals NHS Trust","January 2023",2023-01-01,"Audiology",201,2,0,0.995024875621891
"574","Organisation","Royal Cornwall Hospitals NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",651,396,22,64.2089093701997
"575","Organisation","Royal Cornwall Hospitals NHS Trust","January 2023",2023-01-01,"Occupational Therapy",19,0,0,0
"576","Organisation","Royal Cornwall Hospitals NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"577","Organisation","Royal Devon University Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"578","Organisation","Royal Devon University Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"579","Organisation","Royal Devon University Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"580","Organisation","Royal Devon University Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"581","Organisation","Royal Free London NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"582","Organisation","Royal Free London NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",614,359,18,61.400651465798
"583","Organisation","Royal Free London NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"584","Organisation","Royal Free London NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"585","Organisation","Sandwell and West Birmingham Hospitals NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"586","Organisation","Sandwell and West Birmingham Hospitals NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"587","Organisation","Sandwell and West Birmingham Hospitals NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"588","Organisation","Sandwell and West Birmingham Hospitals NHS Trust","January 2023",2023-01-01,"Speech And Language",448,67,0,14.9553571428571
"589","Organisation","Sheffield Children's NHS Foundation Trust","January 2023",2023-01-01,"Audiology",634,32,0,5.04731861198738
"590","Organisation","Sheffield Children's NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"591","Organisation","Sheffield Children's NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",272,2,0,0.735294117647059
"592","Organisation","Sheffield Children's NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1799,642,65,39.2996108949416
"593","Organisation","Sheffield Health & Social Care NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"594","Organisation","Sheffield Health & Social Care NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"595","Organisation","Sheffield Health & Social Care NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"596","Organisation","Sheffield Health & Social Care NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"597","Organisation","Sheffield Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"598","Organisation","Sheffield Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"599","Organisation","Sheffield Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"600","Organisation","Sheffield Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"601","Organisation","Shropshire Community Health NHS Trust","January 2023",2023-01-01,"Audiology",222,0,0,0
"602","Organisation","Shropshire Community Health NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",581,68,0,11.7039586919105
"603","Organisation","Shropshire Community Health NHS Trust","January 2023",2023-01-01,"Occupational Therapy",208,2,0,0.961538461538462
"604","Organisation","Shropshire Community Health NHS Trust","January 2023",2023-01-01,"Speech And Language",859,413,24,50.8731082654249
"605","Organisation","Sirona Care & Health","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"606","Organisation","Sirona Care & Health","January 2023",2023-01-01,"Community Paediatric Service",2657,1039,515,58.4870154309371
"607","Organisation","Sirona Care & Health","January 2023",2023-01-01,"Occupational Therapy",366,110,1,30.327868852459
"608","Organisation","Sirona Care & Health","January 2023",2023-01-01,"Speech And Language",765,221,46,34.9019607843137
"609","Organisation","Solent NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"610","Organisation","Solent NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",686,225,2,33.0903790087464
"611","Organisation","Solent NHS Trust","January 2023",2023-01-01,"Occupational Therapy",364,107,8,31.5934065934066
"612","Organisation","Solent NHS Trust","January 2023",2023-01-01,"Speech And Language",2301,624,57,29.5958279009126
"613","Organisation","Somerset NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"614","Organisation","Somerset NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",171,22,0,12.8654970760234
"615","Organisation","Somerset NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",389,89,1,23.1362467866324
"616","Organisation","Somerset NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",602,74,0,12.2923588039867
"617","Organisation","South Tees Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"618","Organisation","South Tees Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"619","Organisation","South Tees Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"620","Organisation","South Tees Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"621","Organisation","South Tyneside and Sunderland NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"622","Organisation","South Tyneside and Sunderland NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"623","Organisation","South Tyneside and Sunderland NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",38,6,0,15.7894736842105
"624","Organisation","South Tyneside and Sunderland NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",340,71,0,20.8823529411765
"625","Organisation","South Warwickshire University NHS Foundation Trust","January 2023",2023-01-01,"Audiology",114,0,0,0
"626","Organisation","South Warwickshire University NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",619,233,2,37.9644588045234
"627","Organisation","South Warwickshire University NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",528,209,62,51.3257575757576
"628","Organisation","South Warwickshire University NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",841,146,2,17.5980975029727
"629","Organisation","South West Yorkshire Partnership NHS Foundation Trust","January 2023",2023-01-01,"Audiology",125,0,0,0
"630","Organisation","South West Yorkshire Partnership NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"631","Organisation","South West Yorkshire Partnership NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",0,0,0,NA
"632","Organisation","South West Yorkshire Partnership NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",984,330,2,33.739837398374
"633","Organisation","Southern Health NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"634","Organisation","Southern Health NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"635","Organisation","Southern Health NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"636","Organisation","Southern Health NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"637","Organisation","Southport and Ormskirk Hospital NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"638","Organisation","Southport and Ormskirk Hospital NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",379,248,0,65.4353562005277
"639","Organisation","Southport and Ormskirk Hospital NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"640","Organisation","Southport and Ormskirk Hospital NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"641","Organisation","St George's University Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"642","Organisation","St George's University Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"643","Organisation","St George's University Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"644","Organisation","St George's University Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"645","Organisation","St Helens and Knowsley Teaching Hospitals NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"646","Organisation","St Helens and Knowsley Teaching Hospitals NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",0,0,0,NA
"647","Organisation","St Helens and Knowsley Teaching Hospitals NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"648","Organisation","St Helens and Knowsley Teaching Hospitals NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"649","Organisation","Stockport NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"650","Organisation","Stockport NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"651","Organisation","Stockport NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",50,0,0,0
"652","Organisation","Stockport NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",287,7,0,2.4390243902439
"653","Organisation","Suffolk GP Federation","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"654","Organisation","Suffolk GP Federation","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"655","Organisation","Suffolk GP Federation","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"656","Organisation","Suffolk GP Federation","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"657","Organisation","Sussex Community NHS Foundation Trust","January 2023",2023-01-01,"Audiology",163,2,0,1.22699386503067
"658","Organisation","Sussex Community NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",845,110,0,13.0177514792899
"659","Organisation","Sussex Community NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",427,57,0,13.3489461358314
"660","Organisation","Sussex Community NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1818,561,6,31.1881188118812
"661","Organisation","Sussex MSK Partnership 2","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"662","Organisation","Sussex MSK Partnership 2","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"663","Organisation","Sussex MSK Partnership 2","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"664","Organisation","Sussex MSK Partnership 2","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"665","Organisation","Tameside and Glossop Integrated Care NHS Foundation Trust","January 2023",2023-01-01,"Audiology",390,153,0,39.2307692307692
"666","Organisation","Tameside and Glossop Integrated Care NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",286,28,0,9.79020979020979
"667","Organisation","Tameside and Glossop Integrated Care NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",119,41,26,56.3025210084034
"668","Organisation","Tameside and Glossop Integrated Care NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",656,342,12,53.9634146341463
"669","Organisation","The Dudley Group NHS Foundation Trust","January 2023",2023-01-01,"Audiology",1,0,0,0
"670","Organisation","The Dudley Group NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"671","Organisation","The Dudley Group NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"672","Organisation","The Dudley Group NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"673","Organisation","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",762,30,5,4.59317585301837
"674","Organisation","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"675","Organisation","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",834,233,434,79.9760191846523
"676","Organisation","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1126,605,52,58.348134991119
"677","Organisation","The Rotherham NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"678","Organisation","The Rotherham NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",0,0,0,NA
"679","Organisation","The Rotherham NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"680","Organisation","The Rotherham NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"681","Organisation","The Royal Wolverhampton NHS Trust","January 2023",2023-01-01,"Audiology",132,3,2,3.78787878787879
"682","Organisation","The Royal Wolverhampton NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",1109,547,0,49.3237150586114
"683","Organisation","The Royal Wolverhampton NHS Trust","January 2023",2023-01-01,"Occupational Therapy",12,0,0,0
"684","Organisation","The Royal Wolverhampton NHS Trust","January 2023",2023-01-01,"Speech And Language",822,526,24,66.9099756690998
"685","Organisation","Torbay and South Devon NHS Foundation Trust","January 2023",2023-01-01,"Audiology",281,0,0,0
"686","Organisation","Torbay and South Devon NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",1037,455,374,79.9421407907425
"687","Organisation","Torbay and South Devon NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",670,269,10,41.6417910447761
"688","Organisation","Torbay and South Devon NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",3711,1765,905,71.9482619240097
"689","Organisation","United Lincolnshire Hospitals NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"690","Organisation","United Lincolnshire Hospitals NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",1626,461,0,28.3517835178352
"691","Organisation","United Lincolnshire Hospitals NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"692","Organisation","United Lincolnshire Hospitals NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"693","Organisation","University Hospitals Birmingham NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"694","Organisation","University Hospitals Birmingham NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"695","Organisation","University Hospitals Birmingham NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",40,0,0,0
"696","Organisation","University Hospitals Birmingham NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",58,15,0,25.8620689655172
"697","Organisation","University Hospitals of Derby and Burton NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"698","Organisation","University Hospitals of Derby and Burton NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"699","Organisation","University Hospitals of Derby and Burton NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"700","Organisation","University Hospitals of Derby and Burton NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"701","Organisation","University Hospitals of Morecambe Bay NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"702","Organisation","University Hospitals of Morecambe Bay NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",86,6,0,6.97674418604651
"703","Organisation","University Hospitals of Morecambe Bay NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",9,0,0,0
"704","Organisation","University Hospitals of Morecambe Bay NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",270,70,0,25.9259259259259
"705","Organisation","University Hospitals Plymouth NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"706","Organisation","University Hospitals Plymouth NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"707","Organisation","University Hospitals Plymouth NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"708","Organisation","University Hospitals Plymouth NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"709","Organisation","Walsall Healthcare NHS Trust","January 2023",2023-01-01,"Audiology",760,292,112,53.1578947368421
"710","Organisation","Walsall Healthcare NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"711","Organisation","Walsall Healthcare NHS Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"712","Organisation","Walsall Healthcare NHS Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"713","Organisation","Warrington and Halton Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"714","Organisation","Warrington and Halton Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"715","Organisation","Warrington and Halton Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"716","Organisation","Warrington and Halton Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"717","Organisation","West London NHS Trust","January 2023",2023-01-01,"Audiology",247,1,0,0.404858299595142
"718","Organisation","West London NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",529,150,4,29.1115311909263
"719","Organisation","West London NHS Trust","January 2023",2023-01-01,"Occupational Therapy",68,16,2,26.4705882352941
"720","Organisation","West London NHS Trust","January 2023",2023-01-01,"Speech And Language",209,22,2,11.4832535885167
"721","Organisation","West Suffolk NHS Foundation Trust","January 2023",2023-01-01,"Audiology",174,0,0,0
"722","Organisation","West Suffolk NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",552,230,1,41.8478260869565
"723","Organisation","West Suffolk NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",55,6,0,10.9090909090909
"724","Organisation","West Suffolk NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",543,47,0,8.65561694290976
"725","Organisation","Whittington Health NHS Trust","January 2023",2023-01-01,"Audiology",977,196,0,20.0614124872057
"726","Organisation","Whittington Health NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",187,20,0,10.6951871657754
"727","Organisation","Whittington Health NHS Trust","January 2023",2023-01-01,"Occupational Therapy",392,98,8,27.0408163265306
"728","Organisation","Whittington Health NHS Trust","January 2023",2023-01-01,"Speech And Language",1322,330,3,25.1891074130106
"729","Organisation","Wiltshire Health & Care","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"730","Organisation","Wiltshire Health & Care","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"731","Organisation","Wiltshire Health & Care","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"732","Organisation","Wiltshire Health & Care","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"733","Organisation","Wirral Community Health and Care NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"734","Organisation","Wirral Community Health and Care NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"735","Organisation","Wirral Community Health and Care NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"736","Organisation","Wirral Community Health and Care NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1534,526,326,55.5410691003911
"737","Organisation","Wirral University Teaching Hospital NHS Foundation Trust","January 2023",2023-01-01,"Audiology",428,106,0,24.7663551401869
"738","Organisation","Wirral University Teaching Hospital NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",1243,660,0,53.0973451327434
"739","Organisation","Wirral University Teaching Hospital NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",69,4,2,8.69565217391304
"740","Organisation","Wirral University Teaching Hospital NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"741","Organisation","Wrightington, Wigan and Leigh NHS Foundation Trust","January 2023",2023-01-01,"Audiology",37,0,0,0
"742","Organisation","Wrightington, Wigan and Leigh NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"743","Organisation","Wrightington, Wigan and Leigh NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",242,35,0,14.4628099173554
"744","Organisation","Wrightington, Wigan and Leigh NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",449,6,0,1.33630289532294
"745","Organisation","Wye Valley NHS Trust","January 2023",2023-01-01,"Audiology",108,14,18,29.6296296296296
"746","Organisation","Wye Valley NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"747","Organisation","Wye Valley NHS Trust","January 2023",2023-01-01,"Occupational Therapy",102,50,10,58.8235294117647
"748","Organisation","Wye Valley NHS Trust","January 2023",2023-01-01,"Speech And Language",414,144,16,38.6473429951691
"749","Organisation","York and Scarborough Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"750","Organisation","York and Scarborough Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"751","Organisation","York and Scarborough Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"752","Organisation","York and Scarborough Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"753","Organisation","Your Healthcare","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"754","Organisation","Your Healthcare","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"755","Organisation","Your Healthcare","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"756","Organisation","Your Healthcare","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"757","Organisation","England","February 2023",2023-02-01,"Audiology",19068,3421,479,20.4531151667716
"758","Organisation","England","February 2023",2023-02-01,"Community Paediatric Service",68759,27588,7189,50.5781061388327
"759","Organisation","England","February 2023",2023-02-01,"Occupational Therapy",19847,5163,1210,32.1106464453066
"760","Organisation","England","February 2023",2023-02-01,"Speech And Language",65871,20048,2342,33.9906787508919
"761","Region","East of England","February 2023",2023-02-01,"Audiology",1669,313,1,18.8136608747753
"762","Region","East of England","February 2023",2023-02-01,"Community Paediatric Service",13723,6041,1945,58.1942723894192
"763","Region","East of England","February 2023",2023-02-01,"Occupational Therapy",1878,405,18,22.5239616613419
"764","Region","East of England","February 2023",2023-02-01,"Speech And Language",6004,1948,175,35.3597601598934
"765","Region","London","February 2023",2023-02-01,"Audiology",4188,942,146,25.9789875835721
"766","Region","London","February 2023",2023-02-01,"Community Paediatric Service",11619,4111,669,41.139512866856
"767","Region","London","February 2023",2023-02-01,"Occupational Therapy",4242,1356,85,33.969825553984
"768","Region","London","February 2023",2023-02-01,"Speech And Language",9318,2414,324,29.3839879802533
"769","Region","Midlands","February 2023",2023-02-01,"Audiology",2883,586,284,30.1768990634755
"770","Region","Midlands","February 2023",2023-02-01,"Community Paediatric Service",15350,6337,1351,50.0846905537459
"771","Region","Midlands","February 2023",2023-02-01,"Occupational Therapy",1748,383,55,25.0572082379863
"772","Region","Midlands","February 2023",2023-02-01,"Speech And Language",12164,3424,140,29.2995725090431
"773","Region","North East and Yorkshire","February 2023",2023-02-01,"Audiology",2883,145,4,5.16822754075616
"774","Region","North East and Yorkshire","February 2023",2023-02-01,"Community Paediatric Service",4765,1970,266,46.9254984260231
"775","Region","North East and Yorkshire","February 2023",2023-02-01,"Occupational Therapy",3088,523,491,32.8367875647668
"776","Region","North East and Yorkshire","February 2023",2023-02-01,"Speech And Language",11754,3667,671,36.906584992343
"777","Region","North West","February 2023",2023-02-01,"Audiology",5486,1430,44,26.8683922712359
"778","Region","North West","February 2023",2023-02-01,"Community Paediatric Service",8094,3210,36,40.1037805782061
"779","Region","North West","February 2023",2023-02-01,"Occupational Therapy",2719,593,47,23.5380654652446
"780","Region","North West","February 2023",2023-02-01,"Speech And Language",11951,3779,69,32.1981424148607
"781","Region","South East","February 2023",2023-02-01,"Audiology",1276,1,0,0.0783699059561129
"782","Region","South East","February 2023",2023-02-01,"Community Paediatric Service",10879,4303,1777,55.887489658976
"783","Region","South East","February 2023",2023-02-01,"Occupational Therapy",4073,1138,511,40.4861281610606
